,Date,FB,TWTR,NFLX
931,2017-07-21,164.429993,20.110001,188.539993
932,2017-07-24,166.0,20.0,187.910004
933,2017-07-25,165.279999,19.969999,186.970001
934,2017-07-26,165.610001,19.610001,189.080002
935,2017-07-27,170.440002,16.84,182.679993
936,2017-07-28,172.449997,16.75,184.039993
937,2017-07-31,169.25,16.09,181.660004
938,2017-08-01,169.860001,16.209999,182.029999
939,2017-08-02,169.300003,16.07,180.740005
940,2017-08-03,168.589996,16.18,179.229996
941,2017-08-04,169.619995,16.290001,180.270004
942,2017-08-07,171.979996,16.4,181.330002
943,2017-08-08,171.229996,16.15,178.360001
944,2017-08-09,171.179993,16.139999,175.779999
945,2017-08-10,167.399994,15.75,169.139999
946,2017-08-11,168.080002,15.92,171.399994
947,2017-08-14,170.75,16.09,171.0
948,2017-08-15,171.0,15.95,168.5
949,2017-08-16,170.0,16.16,169.979996
950,2017-08-17,166.910004,15.87,166.089996
951,2017-08-18,167.410004,15.99,166.53999299999995
952,2017-08-21,167.779999,16.110001,166.759995
953,2017-08-22,169.639999,16.629998999999998,169.339996
954,2017-08-23,168.71000700000005,16.959999,169.059998
955,2017-08-24,167.740005,16.889999,168.130005
956,2017-08-25,166.320007,16.65,165.949997
957,2017-08-28,167.240005,16.77,167.119995
958,2017-08-29,168.050003,16.93,168.809998
959,2017-08-30,169.919998,16.93,174.690002
960,2017-08-31,171.970001,16.91,174.71000700000005
961,2017-09-01,172.020004,16.860001,174.740005
962,2017-09-05,170.720001,16.65,174.520004
963,2017-09-06,172.089996,16.83,179.25
964,2017-09-07,173.21000700000005,17.219998999999998,179.0
965,2017-09-08,170.949997,17.450001,176.419998
966,2017-09-11,173.509995,17.66,181.740005
967,2017-09-12,172.96000700000005,18.17,185.149994
968,2017-09-13,173.050003,18.200001,183.639999
969,2017-09-14,170.96000700000005,18.209999,182.630005
970,2017-09-15,171.639999,18.01,182.350006
971,2017-09-18,170.009995,17.6,184.619995
972,2017-09-19,172.520004,17.76,185.679993
973,2017-09-20,172.169998,17.620001000000006,185.509995
974,2017-09-21,171.110001,17.58,188.779999
975,2017-09-22,170.53999299999995,17.610001,187.350006
976,2017-09-25,162.869995,16.98,178.550003
977,2017-09-26,164.21000700000005,16.59,179.380005
